NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
FIRST PRESBYTERIAN CHURCH,1715 MARKET STREET,BAYTOWN,TX,77520,EVAC,HARRIS,100,50,0,No,29.73236544,-94.98240542,Buffalo-San Jacinto,img/shelters.png
NULL MIDDLE SCHOOL,12177 GARRETT ROAD,HOUSTON,TX,77044,BOTH,HARRIS,1015,507,0,No,29.88455012,-95.21689969,Buffalo-San Jacinto,img/shelters.png
LIVING WORD FELLOWSHIP CHURCH,7350 WTC JESTER BLVD,HOUSTON,TX,77088,POST,HARRIS,0,135,0,No,29.86809982,-95.45804177,Buffalo-San Jacinto,img/shelters.png
VIETNAMESE COMMUNITY OF HOUSTON VICINITIES INC.,7100 CLAREWOOD DRIVE,HOUSTON,TX,77036,BOTH,HARRIS,82,41,0,No,29.70874469,-95.50989351,Buffalo-San Jacinto,img/shelters.png
EDGEWOOD ELEMENTARY SCHOOL,8757 KEMPWOOD DR,HOUSTON,TX,77080,BOTH,HARRIS,129,64,0,No,29.8143393,-95.50346767,Buffalo-San Jacinto,img/shelters.png
HOLY NAME CATHOLIC CHURCH,1920 MARION STREET,HOUSTON,TX,77009,BOTH,HARRIS,442,221,0,No,29.77929462,-95.35602215,Buffalo-San Jacinto,img/shelters.png
BAKER-RIPLEY NEIGHBORHOOD CENTER,6500 ROOKIN,HOUSTON,TX,77074,POST,HARRIS,0,160,0,No,29.71056367,-95.49767587,Buffalo-San Jacinto,img/shelters.png
AGAPE COMMUNITY BIBLE CHURCH,12320 BEECHNUT STREET,HOUSTON,TX,77072,EVAC,HARRIS,100,50,1,Yes,29.68977118,-95.59732301,Buffalo-San Jacinto,img/shelters.png
GREENSPOINT MALL,12300 NORTH FWY,HOUSTON,TX,77060,BOTH,HARRIS,100,50,0,No,29.94579089,-95.41192864,Buffalo-San Jacinto,img/shelters.png
MO CAMPBELL EDUCATION CENTER,1865 ALDINE BENDER RD,HOUSTON,TX,77032,BOTH,HARRIS,100,50,0,No,29.93233068,-95.35989231,Buffalo-San Jacinto,img/shelters.png
HOUSMAN ELEMENTARY SCHOOL,6705 HOUSMAN ST,HOUSTON,TX,77055,BOTH,HARRIS,150,75,0,No,29.8001555,-95.46970086,Buffalo-San Jacinto,img/shelters.png
WEST SUPPORT CENTER - SPRING BRANCH ISD,2100 SHADOWDALE DRIVE,HOUSTON,TX,77043,BOTH,HARRIS,125,62,0,No,29.80960949,-95.55367232,Buffalo-San Jacinto,img/shelters.png
MC WILLIAMS HIGH SCHOOL,5100 KNOX STREET,HOUSTON,TX,77096,BOTH,HARRIS,100,50,0,No,29.8537748,-95.42359038,Buffalo-San Jacinto,img/shelters.png
ST JOHN'S CHURCH NORTHWEST,8787 N HOUSTON ROSSLYN RD,HOUSTON,TX,77033,BOTH,HARRIS,100,50,0,No,29.87112421,-95.4919354,Buffalo-San Jacinto,img/shelters.png
JACINTO CITY MUNICIPAL COURTS AND COMMUNITY BUILDING,1025 OATES RD,HOUSTON,TX,77029,POST,HARRIS,0,150,0,No,29.76969996,-95.25097829,Buffalo-San Jacinto,img/shelters.png
FAIR HAVEN UNITED METHODIST CHURCH,1330 GESSNER DRIVE,HOUSTON,TX,77055,POST,HARRIS,201,100,0,No,29.793306,-95.54393428,Buffalo-San Jacinto,img/shelters.png
